"","taxonid","kingdom_name","phylum_name","class_name","order_name","family_name","genus_name","scientific_name","category"
"4337",12570,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Macaca","Macaca hecki","VU"
"4412",12753,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Mandrillus","Mandrillus leucophaeus","EN"
"4413",12754,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Mandrillus","Mandrillus sphinx","VU"
"4414",12755,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Mandrillus","Mandrillus leucophaeus ssp. poensis","EN"
"4415",12756,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Mandrillus","Mandrillus leucophaeus ssp. leucophaeus","EN"
"4702",13323,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CHEIROGALEIDAE","Microcebus","Microcebus murinus","LC"
"4703",13325,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CHEIROGALEIDAE","Microcebus","Microcebus myoxinus","VU"
"4805",13572,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Miopithecus","Miopithecus talapoin","VU"
"4810",13584,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CHEIROGALEIDAE","Mirza","Mirza coquereli","EN"
"5161",14352,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","CERCOPITHECIDAE","Nasalis","Nasalis larvatus","EN"
"5417",14941,"ANIMALIA","CHORDATA","MAMMALIA","PRIMATES","LORISIDAE","Nycticebus","Nycticebus pygmaeus","VU"
